date,open,high,low,close,volume,_id,moving_avg_3,moving_avg_6,moving_avg_12,rolling_mean,rolling_std,upper_band,lower_band,monthly_return,ema12,ema26,macd,signal_line
2000-11-30,35.63,38.25,27.88,28.94,137952900,67a49129d3734ca72262492d,34.333333333333336,36.555,37.13166666666667,34.333333333333336,4.82746655434643,43.988266442026195,24.678400224640477,-19.18458531136554,35.57306288945395,33.91465299567192,1.6584098937820286,2.123789798537822
2000-12-29,29.25,32.0,26.0,28.94,114942400,67a49129d3734ca72262492c,31.23,34.910000000000004,37.10583333333334,31.23,3.966396349332748,39.1627926986655,23.297207301334502,0.0,34.55259167569181,33.546160181177704,1.0064314945141035,1.9003181377330784
2001-01-31,28.13,34.0,27.63,30.45,137020500,67a49129d3734ca72262492b,29.44333333333333,33.55833333333334,36.6175,29.44333333333333,0.8717989064764473,31.186931146286227,27.699735520380436,5.217691776088462,33.92142372558538,33.31681498257195,0.6046087430134293,1.6411762587891487
2001-02-28,30.45,32.98,29.6,30.95,105904900,67a49129d3734ca72262492a,30.113333333333333,32.223333333333336,36.36333333333334,30.113333333333333,1.0464384039844437,32.20621014130222,28.020456525364445,1.6420361247947435,33.46428161395686,33.141495354233285,0.32278625972357133,1.3774982589760332
2001-03-30,30.03,31.0,26.06,28.6,137206700,67a49129d3734ca722624929,30.0,30.615,35.30916666666667,30.0,1.2379418403140672,32.47588368062814,27.524116319371867,-7.592891760904674,32.71593059642503,32.805088290956746,-0.08915769453171407,1.0841670682744837
2001-04-30,28.3,32.0,26.47,30.25,106111600,67a49129d3734ca722624928,29.933333333333334,29.688333333333333,34.19416666666667,29.933333333333334,1.2065791865159599,32.346491706365256,27.520174960301414,5.769230769230771,32.33655665851349,32.615822491626616,-0.27926583311312925,0.8114804879969612
2001-05-31,30.5,34.8,29.85,31.62,118310000,67a49129d3734ca722624927,30.156666666666666,30.135,33.345000000000006,30.156666666666666,1.512161807920537,33.18099028250774,27.132343050825593,4.528925619834712,32.22631717258834,32.542057862617234,-0.31574069002889615,0.5860362523917897
2001-06-29,31.53,32.41,27.35,28.89,102721800,67a49129d3734ca722624926,30.253333333333334,30.12666666666667,32.51833333333334,30.253333333333334,1.3650030524997026,32.98333943833274,27.52332722833393,-8.633776091081591,31.713037607574748,32.27153505797892,-0.5584974504041753,0.3571295118325967
2001-07-31,28.55,29.02,26.03,26.35,118287700,67a49129d3734ca722624925,28.953333333333333,29.44333333333333,31.500833333333333,28.953333333333333,2.6355707794201937,34.22447489217372,23.682191774492946,-8.791969539633094,30.887954898717094,31.83290283146197,-0.9449479327448742,0.09671402291710252
2001-08-31,26.55,27.98,24.56,25.43,115736500,67a49129d3734ca722624924,26.89,28.523333333333337,30.37333333333333,26.89,1.7920937475479173,30.474187495095833,23.305812504904168,-3.491461100569271,30.048269529683694,31.358613732835156,-1.3103442031514625,-0.1846976222966105
2001-09-28,25.1,26.05,15.5,18.62,310868300,67a49129d3734ca722624923,23.46666666666667,26.860000000000003,28.7375,23.46666666666667,4.22246768292356,31.91160203251379,15.021731300819548,-26.779394416044035,28.290074217424664,30.41501271558811,-2.124938498163445,-0.5727457974699774
2001-10-31,18.62,20.49,17.81,18.59,185216400,67a49129d3734ca722624922,20.88,24.916666666666668,27.3025,20.88,3.940444137403887,28.760888274807773,12.999111725192225,-0.1611170784103222,26.79775510705164,29.539085847766767,-2.741330740715128,-1.0064627861190076
2001-11-30,18.64,21.91,18.05,20.47,204365100,67a49129d3734ca722624921,19.226666666666663,23.058333333333334,26.596666666666664,19.226666666666663,1.076862727247109,21.38039212116088,17.072941212172445,10.112963959117804,25.824254321351386,28.867301710895156,-3.0430473895437693,-1.4137797068039601
2001-12-31,20.47,22.9,19.5,20.72,167588000,67a49129d3734ca722624920,19.926666666666666,21.69666666666667,25.911666666666665,19.926666666666666,1.164316680862232,22.25530002839113,17.598033304942202,1.2212994626282336,25.038984425758866,28.26379788045848,-3.224813454699614,-1.775986456383091
2002-01-31,20.9,23.6,20.02,21.06,165730800,67a49129d3734ca72262491f,20.749999999999996,20.814999999999998,25.129166666666666,20.749999999999996,0.2961418579003432,21.342283715800683,20.15771628419931,1.640926640926632,24.426832975642114,27.73018322264674,-3.3033502470046265,-2.0814592145073982
2002-02-28,22.6,24.6,21.2,23.0,162029800,67a49129d3734ca72262491e,21.593333333333334,20.41,24.46666666666667,21.593333333333334,1.2300135500611173,24.05336043345557,19.133306233211098,9.211775878442552,24.207320210158713,27.37979928022846,-3.1724790700697483,-2.2996631856198686
