date,open,high,low,close,volume,_id,moving_avg_3,moving_avg_6,moving_avg_12,rolling_mean,rolling_std,upper_band,lower_band,monthly_return,ema12,ema26,macd,signal_line
2002-05-31,101.4,103.8,98.44,99.95,1475400,67edbb730a5a0a228bc1c270,102.48333333333333,103.325,103.69166666666666,102.48333333333333,3.214939087033165,108.91321150739967,96.053455159267,-1.429980276134124,104.22729940732658,107.12354731647109,-2.896247909144506,-2.3902745363817273
2002-06-28,100.0,100.4,89.15,92.8,2711800,67edbb730a5a0a228bc1c26f,98.05000000000001,101.22499999999998,102.00833333333333,98.05000000000001,4.60407428263278,107.25814856526557,88.84185143473445,-7.153576788394201,102.46925334466096,106.0625438115473,-3.5932904668863443,-2.630877722482651
2002-07-31,93.0,93.0,73.09,85.06,5542900,67edbb730a5a0a228bc1c26e,92.60333333333334,97.985,99.86333333333334,92.60333333333334,7.446947920680927,107.49722917469519,77.70943749197149,-8.340517241379308,99.79090667625158,104.50679982550676,-4.71589314925518,-3.0478808078371573
2002-08-30,84.6,90.26,78.2,85.71,4210400,67edbb730a5a0a228bc1c26d,87.85666666666667,95.17,98.30583333333334,87.85666666666667,4.293370859049337,96.44340838476535,79.26992494856799,0.7641664707265461,97.62461334144363,103.11444428287663,-5.489830941432999,-3.5362708345563263
2002-09-30,84.3,86.49,75.43,76.75,3815900,67edbb730a5a0a228bc1c26c,82.50666666666666,90.27833333333335,96.78916666666665,82.50666666666666,4.996001734720888,92.49867013610844,72.51466319722488,-10.453856026134634,94.41313436583692,101.16152248414504,-6.748388118308114,-4.178694291306684
2002-10-31,77.55,84.6,72.0,82.5,6244200,67edbb730a5a0a228bc1c26b,81.65333333333332,87.12833333333333,95.58916666666669,81.65333333333332,4.539607178306746,90.73254768994681,72.57411897671983,7.491856677524433,92.58034446340048,99.77918748531948,-7.198843021919004,-4.782724037429148
2002-11-29,82.1,88.25,81.59,87.45,3433200,67edbb730a5a0a228bc1c26a,82.23333333333333,85.045,94.185,82.23333333333333,5.354982103922866,92.94329754117906,71.5233691254876,6.000000000000005,91.79106069980041,98.86591433825878,-7.0748536384583645,-5.241149957634992
2002-12-31,89.08,89.4,81.45,82.63,5418600,67edbb730a5a0a228bc1c269,84.19333333333333,83.35,92.28750000000001,84.19333333333333,2.821104984458054,89.83554330224943,78.55112336441722,-5.511720983419099,90.38166674598496,97.66325401690628,-7.281587270921321,-5.649237420292257
2003-01-31,83.4,87.45,78.85,80.34,3679100,67edbb730a5a0a228bc1c268,83.47333333333334,82.56333333333333,90.27416666666666,83.47333333333334,3.629246937497377,90.7318272083281,76.21483945833859,-2.7713905361248847,88.83679493891034,96.38005001565396,-7.54325507674362,-6.028040951582531
2003-02-28,80.7,81.2,75.76,79.1,4976600,67edbb730a5a0a228bc1c267,80.69,81.46166666666666,88.31583333333333,80.69,1.7908377927665124,84.27167558553302,77.10832441446698,-1.5434403783918471,87.33882648677029,95.10004631079072,-7.761219824020429,-6.374676726070112
2003-03-31,79.8,84.06,74.39,79.4,8439500,67edbb730a5a0a228bc1c266,79.61333333333334,81.90333333333334,86.09083333333332,79.61333333333334,0.6469415223451251,80.90721637802359,78.3194502886431,0.37926675094817064,86.11746856572871,93.93707991739882,-7.819611351670105,-6.66366365119011
2003-04-30,79.85,86.71,79.5,86.24,5221000,67edbb730a5a0a228bc1c265,81.58,82.52666666666666,84.8275,81.58,4.03846505494362,89.65693010988724,73.50306989011276,8.614609571788389,86.13631955561661,93.36692584944335,-7.230606293826739,-6.777052179717436
2003-05-30,85.95,91.45,84.88,91.27,3340200,67edbb730a5a0a228bc1c264,85.63666666666666,83.16333333333334,84.10416666666667,85.63666666666666,5.957955465873665,97.55257759841399,73.72075573491932,5.832560296846023,86.9261165470602,93.21159800874385,-6.285481461683645,-6.678738036110678
2003-06-30,92.15,96.15,91.41,92.45,2765400,67edbb730a5a0a228bc1c263,89.98666666666668,84.8,84.075,89.98666666666668,3.29791348178416,96.58249363023499,83.39083970309837,1.2928673167525107,87.7759447705894,93.15518334142948,-5.379238570840073,-6.418838143056558
2003-07-31,92.2,96.72,91.34,94.6,2027600,67edbb730a5a0a228bc1c262,92.77333333333333,87.17666666666666,84.87,92.77333333333333,1.6883818683383223,96.15009707000998,89.39656959665668,2.325581395348819,88.82579942126796,93.26220679761988,-4.436407376351923,-6.022351989715631
2003-08-29,94.45,97.1,91.65,96.86,1920000,67edbb730a5a0a228bc1c261,94.63666666666667,90.13666666666667,85.79916666666666,94.63666666666667,2.205228635160892,99.04712393698846,90.22620939634488,2.389006342494726,90.06183027953443,93.52870999779618,-3.466879718261751,-5.511257535424855
2003-09-30,97.24,100.0,94.84,95.5,2665600,67edbb730a5a0a228bc1c260,95.65333333333332,92.82,87.36166666666666,95.65333333333332,1.1377756076369225,97.92888454860717,93.37778211805947,-1.4040883749741884,90.89847177499067,93.67473147944091,-2.77625970445024,-4.964257969229932
2003-10-31,96.04,101.65,95.83,101.28,2151300,67edbb730a5a0a228bc1c25f,97.88,95.32666666666665,88.92666666666666,97.88,3.0219861018873315,103.92397220377465,91.83602779622534,6.0523560209424065,92.49562996345364,94.23808470318602,-1.7424547397323806,-4.319897323330422
2003-11-28,101.79,102.97,99.75,102.8,1886400,67edbb730a5a0a228bc1c25e,99.86,97.24833333333333,90.20583333333333,99.86,3.8515970713458736,107.56319414269174,92.15680585730826,1.500789889415488,94.08091766138385,94.87230065109816,-0.7913829897143074,-3.614194456607199
2003-12-31,103.3,107.16,101.68,106.46,3133000,67edbb730a5a0a228bc1c25d,103.51333333333332,99.58333333333333,92.19166666666666,103.51333333333332,2.66265531628359,108.8386439659005,98.18802270076614,3.56031128404668,95.9853918673248,95.73064875101682,0.25474311630797786,-2.8404069420241638
2004-01-30,107.39,111.69,106.26,109.24,3455400,67edbb730a5a0a228bc1c25c,106.16666666666667,102.02333333333333,94.60000000000001,106.16666666666667,3.230005159954565,112.6266769865758,99.70665634675754,2.6113094119857294,98.02456234927483,96.73134143612668,1.2932209131481471,-2.0136813709897017
2004-02-27,109.4,112.09,108.26,110.77,2217000,67edbb730a5a0a228bc1c25b,108.82333333333332,104.34166666666665,97.23916666666666,108.82333333333332,2.185001906940348,113.19333714721402,104.45332951945262,1.4005858659831505,99.98539891092486,97.77124207048767,2.214156840437184,-1.1681137287043246
2004-03-31,110.89,112.79,105.25,109.28,4214000,67edbb730a5a0a228bc1c25a,109.76333333333334,106.63833333333332,99.72916666666667,109.76333333333334,0.8720282870027142,111.50738990733876,108.01927675932791,-1.3451295477114655,101.41533754001334,98.62374265785895,2.791594882154385,-0.37617200653258276
2004-04-30,109.3,111.66,106.4,106.85,3393300,67edbb730a5a0a228bc1c259,108.96666666666665,107.56666666666666,101.44666666666666,108.96666666666665,1.9786948560434845,112.92405637875362,105.00927695457969,-2.223645680819919,102.25143945693436,99.23309505357311,3.0183444033612545,0.3027312754461848
2004-05-28,107.65,108.88,103.65,108.4,4553500,67edbb730a5a0a228bc1c258,108.17666666666668,108.5,102.87416666666667,108.17666666666668,1.2302980668655035,110.63726280039768,105.71607053293567,1.4506317267197089,103.19737184817522,99.91212504960473,3.2852467985704976,0.8992343800710474
2004-06-30,108.3,110.78,107.75,110.22,3065700,67edbb730a5a0a228bc1c257,108.49,109.12666666666667,104.355,108.49,1.6868017073739396,111.86360341474787,105.11639658525212,1.6789667896678795,104.27777617922519,100.6756713422266,3.602104836998592,1.4398084714565562
2004-07-30,110.3,110.43,103.62,106.3,3032000,67edbb730a5a0a228bc1c256,108.30666666666667,108.63666666666666,105.33,108.30666666666667,1.9616659586517204,112.22999858397012,104.38333474936323,-3.556523317002358,104.58888753626746,101.09228827983944,3.496599256428027,1.8511666284508506
2004-08-31,105.5,106.92,101.9,106.36,3374300,67edbb730a5a0a228bc1c255,107.62666666666667,107.90166666666666,106.12166666666667,107.62666666666667,2.2460929039852737,112.11885247463721,103.13448085869612,0.0564440263405519,104.86136637684169,101.48248914799947,3.3788772288422138,2.156708748529123
2004-09-30,106.45,109.57,106.0,107.76,4581700,67edbb730a5a0a228bc1c254,106.80666666666667,107.64833333333333,107.14333333333333,106.80666666666667,0.8261557560975054,108.45897817886168,105.15435515447166,1.316284317412575,105.30731001117374,101.94748995185137,3.3598200593223737,2.3973310106877737
